trial	state	mean_val_auc	lr	weight_decay	batch_size	grad_clip_max_norm	dropout	drop_path	mod_drop_p	head_dropout	d_model	d_ffn	depth	lr_schedule	lr_warmup_epochs	lr_min_ratio	label_smoothing	ema_decay
14	PRUNED	0.7646826922541136	2.758996536384043e-05	1.3226331813474785e-05	64	0.7955814202784595	0.18394235350240296	0.004461230125411409	0.2399387653711854	0.02308693409598982	768	768	4	warmup_cosine	3	0.03865816963989605	0.039267567654709436	0.9994663599547061
15	COMPLETE	0.8498804	0.00033445651873223686	0.00016457968699767932	128	1.8183195267396095	0.039569969158193496	0.08686340401371855	0.15028353282805756	0.21856063668415213	512	1536	5	warmup_cosine	8	0.2178651854283608	0.0020792647447912507	0.9921431165193628
16	PRUNED	0.8130394566010821	0.0001055308431527252	7.012251061469933e-05	256	1.8915417899037203	0.008399749499969182	0.09902958266846423	0.12182358964600508	0.17190640572547497	512	768	5	warmup_cosine	7	0.2298359030873064	0.0009738544313822989	0.9935206147633784
17	PRUNED	0.8442673420147886	0.00020687973110527382	0.00021069079037325806	128	1.4673598970565795	0.03604572907949644	0.06805512837648797	0.19179598626854022	0.23905019230464294	512	1536	4	warmup_cosine	6	0.28809722904467483	0.03823083463298817	0.9916722628010332
18	PRUNED	0.8452034681243489	0.00040854171794122053	9.141433423401323e-06	128	1.8594625661567221	0.06106806571167293	0.07800884843982528	0.08991682007446486	0.27487751341017663	768	1536	6	warmup_cosine	7	0.16932626182855914	0.0037535711173908182	0.9915060726811636
19	COMPLETE	0.848333	0.00022321648069593373	0.000288557513082457	128	1.9787953629984998	0.17140684361780623	0.08837873786386698	0.020952526670903335	0.28009030317913663	512	1536	5	cosine	9	0.23714615042296755	0.020595383801727825	0.9949431882959823
20	COMPLETE	0.8505248	0.00017352455413492313	1.610651515574717e-05	128	1.848249000102659	0.20306300209103822	0.07981582229370461	0.0037435374813210923	0.2771563565574382	512	1536	5	cosine	8	0.27659803794215393	0.05535470794958638	0.9948937897437232
21	COMPLETE	0.8518844	0.00010535877551654962	6.685424753249428e-05	128	1.9035627125994894	0.20265880402653438	0.0876499130127843	0.009723242050862755	0.17809470456871018	512	1536	5	cosine	9	0.20022141115382994	0.05370584016814528	0.9957125082165598
22	PRUNED	0.8136760780773753	7.63789959336665e-05	3.845297405024229e-05	256	1.9129608783461556	0.27896859222946596	0.08062269598500148	0.0024725613315837586	0.2317630864220745	512	1536	5	cosine	7	0.1830731832463645	0.08957916929827295	0.9964301206326327
23	PRUNED	0.8481622952920659	0.0002635538242103546	5.372399625636209e-06	128	1.650853301316161	0.2575123212091861	0.07775540285273351	0.029215823643896983	0.27195304810665766	384	1536	5	cosine	10	0.23015641312165042	0.07116854492437838	0.993245061819443
24	PRUNED	0.8380836161214289	0.00017662530448282255	3.0458523397448015e-06	128	1.6218704961638934	0.1606011317158293	0.09653636767381732	0.004046393703449378	0.2830459524916485	512	768	4	warmup_cosine	8	0.18997071883514927	0.057110646498821034	0.9954550909490933
