trial	state	mean_val_auc	lr	weight_decay	batch_size	grad_clip_max_norm	dropout	drop_path	mod_drop_p	head_dropout
36	COMPLETE	0.8495136666666667	5.0853476991731414e-05	0.0001047266304579139	64	0.6991440928411122	0.04006388909570019	0.006235241906950219	0.11996268716239795	0.01582498352149491
37	COMPLETE	0.8433003333333332	2.2221600640411597e-05	4.25581130449318e-05	64	1.2710145281353242	0.06292674674513887	0.0312913601339371	0.14823653583944185	0.09014308198117695
38	COMPLETE	0.8485803333333334	9.654683090206037e-05	3.4369793692288093e-06	128	0.8242597677950325	0.26876523178860756	0.09322577980227091	0.10739967106715265	0.11224032236476447
39	COMPLETE	0.8480653333333334	4.252433133829983e-05	2.2304132712687677e-05	64	0.5079133552409864	0.22703374066651238	0.01480677766979176	0.17797738461429174	0.021984789484325667
40	COMPLETE	0.8488286666666666	0.00019138130720958518	0.00049494330886541	64	1.0428008539658893	0.14077558343120256	0.00678753187306326	0.07854757943115241	0.053924747098770945
41	COMPLETE	0.8493623333333332	0.00033874931150522586	6.722415878011384e-06	128	0.9314790776821982	0.029169744108676926	0.02499695598378836	0.27469040788139454	0.038384512272855775
42	COMPLETE	0.8509663333333334	7.7608994762604e-05	1.1732871271615651e-05	64	0.6970456982308261	0.11825925351157206	0.022460539013033343	0.12855768296236975	0.07660549543233218
43	COMPLETE	0.8514486666666666	7.024491479645347e-05	1.2903768520984988e-05	64	0.6112814262455546	0.07503035324998641	0.011791539544690751	0.13413668205486934	0.08474040858060111
44	COMPLETE	0.8474873333333334	3.854495189029007e-05	2.3156476898242115e-05	64	0.5923905123243179	0.11699504924609516	0.011248055027248217	0.1627367948269264	0.12112534437717132
45	COMPLETE	0.850949	0.0001395166626826434	1.575342861529227e-05	64	0.5958780138301636	0.07750135007921002	0.014938979096140934	0.14014293361907434	0.1384579810965664
