iter	timestamp	commit	combo	split_mode	n_seeds	mean_val_auc	std_val_auc	mean_val_mcc	std_val_mcc	mean_val_loss	wall_time_min	keep	note
191	2026-05-20T19:03:34	12b0ffc6a8	maccs+avalon+scage2+mole	scaffold	10	0.853406	0.003001	0.535906	0.006582	0.481478	10.06	False	head dropout 0.10 -> 0.12 on split-wd stack
192	2026-05-20T19:14:17	312038d75f	maccs+avalon+scage2+mole	scaffold	10	0.853436	0.002791	0.539063	0.008397	0.475874	10.29	False	R-Drop warmup 5 -> 6 epochs on split-wd stack
193	2026-05-20T19:23:29	cbe48f7593	maccs+avalon+scage2+mole	scaffold	10	0.853721	0.002495	0.538718	0.004375	0.457055	8.63	False	AdamW lr 1e-4 -> 1.5e-4 on split-wd stack
194	2026-05-20T19:31:22	3e0efc84b1	maccs+avalon+scage2+mole	scaffold	10	0.854804	0.002611	0.539484	0.0046	0.465645	7.51	True	AdamW lr 1e-4 -> 1.25e-4 on split-wd stack
195	2026-05-20T19:46:49	5c58dfcd1e	maccs+avalon+scage2+mole	scaffold	10	0.854325	0.002494	0.540612	0.007135	0.466018	7.36	False	AdamW lr 1.25e-4 -> 1.4e-4 (sweep up)
196	2026-05-20T19:54:49	4e1e9a48f7	maccs+avalon+scage2+mole	scaffold	10	0.853701	0.00249	0.539411	0.008774	0.470669	7.57	False	AdamW lr 1.25e-4 -> 1.1e-4 (sweep down)
197	2026-05-20T20:01:39	9bc22da482	maccs+avalon+scage2+mole	scaffold	10	0.854947	0.002638	0.538159	0.005505	0.459733	6.43	True	EMA decay 0.9995 -> 0.9993 on lr=1.25e-4 stack
198	2026-05-20T20:14:16	62eb1e4617	maccs+avalon+scage2+mole	scaffold	10	0.854933	0.002619	0.54065	0.007385	0.466891	5.69	False	EMA decay 0.9993 -> 0.999 (continue sweep down)
199	2026-05-20T20:21:14	8be1b53b25	maccs+avalon+scage2+mole	scaffold	10	0.854305	0.002459	0.539893	0.00617	0.464371	6.47	False	head dropout 0.10 -> 0.08 on iter197 stack
200	2026-05-20T20:28:07	629771a6d5	maccs+avalon+scage2+mole	scaffold	10	0.854745	0.002474	0.539535	0.006254	0.460912	6.5	False	AdamW lr 1.25e-4 -> 1.3e-4 (fine sweep up on iter197 stack)
